countryPair,scoreSum,Country1,Country2,same
CHL-CHL,2576,CHL,CHL,True
MAD-MAD,2570,MAD,MAD,True
MAL-MAL,2554,MAL,MAL,True
BNG-BNG,2546,BNG,BNG,True
BRU-BRU,2539,BRU,BRU,True
INS-INS,2531,INS,INS,True
ECU-ECU,2530,ECU,ECU,True
VEN-VEN,2524,VEN,VEN,True
GUY-GUY,2521,GUY,GUY,True
PHI-PHI,2515,PHI,PHI,True
SRI-SRI,2510,SRI,SRI,True
MEX-MEX,2508,MEX,MEX,True
PER-PER,2507,PER,PER,True
THI-THI,2500,THI,THI,True
SEN-SEN,2498,SEN,SEN,True
JAM-JAM,2491,JAM,JAM,True
BRU-MAL,2478,BRU,MAL,False
MAL-BRU,2478,MAL,BRU,False
BOL-BOL,2477,BOL,BOL,True
OMA-OMA,2470,OMA,OMA,True
KUW-KUW,2470,KUW,KUW,True
QAT-QAT,2469,QAT,QAT,True
SUD-SUD,2469,SUD,SUD,True
SIN-SIN,2469,SIN,SIN,True
TUN-TUN,2469,TUN,TUN,True
BNG-BRU,2467,BNG,BRU,False
BRA-BRA,2467,BRA,BRA,True
BRU-BNG,2467,BRU,BNG,False
BNG-MAL,2463,BNG,MAL,False
COS-COS,2463,COS,COS,True
MAL-BNG,2463,MAL,BNG,False
COL-COL,2462,COL,COL,True
ALG-ALG,2461,ALG,ALG,True
BAH-BAH,2458,BAH,BAH,True
MAL-INS,2452,MAL,INS,False
INS-MAL,2452,INS,MAL,False
LIB-LIB,2451,LIB,LIB,True
JOR-JOR,2450,JOR,JOR,True
URU-URU,2448,URU,URU,True
DJI-DJI,2448,DJI,DJI,True
PAN-PAN,2445,PAN,PAN,True
NIG-NIG,2445,NIG,NIG,True
NEP-NEP,2444,NEP,NEP,True
BRU-INS,2443,BRU,INS,False
MOR-MOR,2443,MOR,MOR,True
INS-BRU,2443,INS,BRU,False
MAL-MAD,2436,MAL,MAD,False
MAD-MAL,2436,MAD,MAL,False
INS-BNG,2433,INS,BNG,False
BNG-INS,2433,BNG,INS,False
BNG-MAD,2429,BNG,MAD,False
MAD-BNG,2429,MAD,BNG,False
UAE-UAE,2426,UAE,UAE,True
SAU-SAU,2419,SAU,SAU,True
MAD-BRU,2418,MAD,BRU,False
BRU-MAD,2418,BRU,MAD,False
SRI-BNG,2415,SRI,BNG,False
BNG-SRI,2415,BNG,SRI,False
BHM-BHM,2415,BHM,BHM,True
PER-CHL,2410,PER,CHL,False
OMA-QAT,2410,OMA,QAT,False
QAT-OMA,2410,QAT,OMA,False
CHL-PER,2410,CHL,PER,False
PHI-THI,2409,PHI,THI,False
THI-PHI,2409,THI,PHI,False
BRU-SRI,2408,BRU,SRI,False
SRI-BRU,2408,SRI,BRU,False
MAL-SRI,2405,MAL,SRI,False
EGY-EGY,2405,EGY,EGY,True
SRI-MAL,2405,SRI,MAL,False
MLI-MLI,2404,MLI,MLI,True
TRI-TRI,2403,TRI,TRI,True
SRI-INS,2400,SRI,INS,False
INS-SRI,2400,INS,SRI,False
KUW-QAT,2400,KUW,QAT,False
QAT-KUW,2400,QAT,KUW,False
NIC-NIC,2396,NIC,NIC,True
MAL-QAT,2396,MAL,QAT,False
QAT-MAL,2396,QAT,MAL,False
BAH-QAT,2396,BAH,QAT,False
QAT-BAH,2396,QAT,BAH,False
THI-MAD,2394,THI,MAD,False
MAD-THI,2394,MAD,THI,False
MAS-MAS,2394,MAS,MAS,True
INS-MAD,2392,INS,MAD,False
MAD-INS,2392,MAD,INS,False
BAR-BAR,2391,BAR,BAR,True
BAH-UAE,2390,BAH,UAE,False
GUA-GUA,2390,GUA,GUA,True
UAE-BAH,2390,UAE,BAH,False
BOT-BOT,2388,BOT,BOT,True
JAM-GUY,2387,JAM,GUY,False
GUY-JAM,2387,GUY,JAM,False
KUW-BAH,2387,KUW,BAH,False
BAH-KUW,2387,BAH,KUW,False
BNG-GUY,2387,BNG,GUY,False
GUY-BNG,2387,GUY,BNG,False
QAT-BNG,2386,QAT,BNG,False
PAR-PAR,2386,PAR,PAR,True
SLU-SLU,2386,SLU,SLU,True
BNG-QAT,2386,BNG,QAT,False
CHL-MEX,2385,CHL,MEX,False
SAL-SAL,2385,SAL,SAL,True
MEX-CHL,2385,MEX,CHL,False
GUY-MAD,2384,GUY,MAD,False
KUW-OMA,2384,KUW,OMA,False
MAD-GUY,2384,MAD,GUY,False
QAT-BRU,2384,QAT,BRU,False
BRU-QAT,2384,BRU,QAT,False
OMA-KUW,2384,OMA,KUW,False
ZAM-ZAM,2383,ZAM,ZAM,True
SEN-MAD,2383,SEN,MAD,False
MAD-SEN,2383,MAD,SEN,False
MAL-TUN,2382,MAL,TUN,False
MAL-OMA,2382,MAL,OMA,False
SRI-PHI,2382,SRI,PHI,False
TUN-MAL,2382,TUN,MAL,False
OMA-MAL,2382,OMA,MAL,False
YEM-YEM,2382,YEM,YEM,True
PHI-SRI,2382,PHI,SRI,False
BLZ-BLZ,2382,BLZ,BLZ,True
BRU-GUY,2381,BRU,GUY,False
GUY-BRU,2381,GUY,BRU,False
BRU-OMA,2380,BRU,OMA,False
OMA-BRU,2380,OMA,BRU,False
THI-MAL,2379,THI,MAL,False
MAL-BAH,2379,MAL,BAH,False
BAH-MAL,2379,BAH,MAL,False
BFO-BFO,2379,BFO,BFO,True
MAL-THI,2379,MAL,THI,False
SRI-MAD,2378,SRI,MAD,False
SIN-BRU,2378,SIN,BRU,False
BRU-SIN,2378,BRU,SIN,False
MAD-SRI,2378,MAD,SRI,False
INS-QAT,2377,INS,QAT,False
QAT-INS,2377,QAT,INS,False
SRI-THI,2377,SRI,THI,False
THI-SRI,2377,THI,SRI,False
PHI-MAD,2376,PHI,MAD,False
MAD-PHI,2376,MAD,PHI,False
THI-BRU,2376,THI,BRU,False
BRU-THI,2376,BRU,THI,False
GUY-MAL,2375,GUY,MAL,False
THI-BNG,2375,THI,BNG,False
SIN-MAL,2375,SIN,MAL,False
BNG-THI,2375,BNG,THI,False
MAL-SIN,2375,MAL,SIN,False
MAL-GUY,2375,MAL,GUY,False
OMA-BAH,2374,OMA,BAH,False
BAH-OMA,2374,BAH,OMA,False
MAD-TUN,2373,MAD,TUN,False
MAD-BAH,2373,MAD,BAH,False
BAH-MAD,2373,BAH,MAD,False
TUN-MAD,2373,TUN,MAD,False
CHN-CHN,2372,CHN,CHN,True
QAT-UAE,2372,QAT,UAE,False
OMA-BNG,2372,OMA,BNG,False
UAE-QAT,2372,UAE,QAT,False
BNG-OMA,2372,BNG,OMA,False
DJI-MAL,2371,DJI,MAL,False
MON-MON,2371,MON,MON,True
MAL-DJI,2371,MAL,DJI,False
OMA-INS,2371,OMA,INS,False
INS-OMA,2371,INS,OMA,False
QAT-MAD,2370,QAT,MAD,False
MAD-QAT,2370,MAD,QAT,False
TUN-BNG,2368,TUN,BNG,False
BNG-TUN,2368,BNG,TUN,False
BNG-PHI,2367,BNG,PHI,False
MAL-KUW,2367,MAL,KUW,False
KUW-MAL,2367,KUW,MAL,False
PHI-BNG,2367,PHI,BNG,False
MEX-PER,2366,MEX,PER,False
PER-MEX,2366,PER,MEX,False
SEN-MAL,2366,SEN,MAL,False
TUN-JOR,2366,TUN,JOR,False
JOR-TUN,2366,JOR,TUN,False
MAL-SEN,2366,MAL,SEN,False
BRU-PHI,2365,BRU,PHI,False
THI-GUY,2365,THI,GUY,False
TUN-BRU,2365,TUN,BRU,False
PHI-BRU,2365,PHI,BRU,False
SEN-BNG,2365,SEN,BNG,False
BNG-SEN,2365,BNG,SEN,False
TAZ-TAZ,2365,TAZ,TAZ,True
BRU-TUN,2365,BRU,TUN,False
GUY-THI,2365,GUY,THI,False
THI-SIN,2364,THI,SIN,False
MAD-KUW,2364,MAD,KUW,False
MAD-DJI,2364,MAD,DJI,False
KUW-MAD,2364,KUW,MAD,False
DJI-MAD,2364,DJI,MAD,False
SIN-THI,2364,SIN,THI,False
BNG-SIN,2363,BNG,SIN,False
JOR-MAD,2363,JOR,MAD,False
MAD-JOR,2363,MAD,JOR,False
SIN-BNG,2363,SIN,BNG,False
TUN-DJI,2362,TUN,DJI,False
DJI-TUN,2362,DJI,TUN,False
KUW-UAE,2361,KUW,UAE,False
UAE-KUW,2361,UAE,KUW,False
SIN-GUY,2360,SIN,GUY,False
BRU-BAH,2360,BRU,BAH,False
BAH-BRU,2360,BAH,BRU,False
JAM-THI,2360,JAM,THI,False
GUY-SIN,2360,GUY,SIN,False
THI-JAM,2360,THI,JAM,False
TUN-INS,2359,TUN,INS,False
KUW-BRU,2359,KUW,BRU,False
JAM-MAD,2359,JAM,MAD,False
MAD-JAM,2359,MAD,JAM,False
INS-TUN,2359,INS,TUN,False
BRU-KUW,2359,BRU,KUW,False
SIN-MAD,2358,SIN,MAD,False
UAE-MAL,2358,UAE,MAL,False
CUB-CUB,2358,CUB,CUB,True
MAD-SIN,2358,MAD,SIN,False
MAL-UAE,2358,MAL,UAE,False
MAL-JOR,2357,MAL,JOR,False
SEN-GUY,2357,SEN,GUY,False
SEN-BRU,2357,SEN,BRU,False
BRU-SEN,2357,BRU,SEN,False
GUY-SEN,2357,GUY,SEN,False
JOR-MAL,2357,JOR,MAL,False
BNG-DJI,2356,BNG,DJI,False
DJI-BNG,2356,DJI,BNG,False
KUW-BNG,2356,KUW,BNG,False
QAT-TUN,2356,QAT,TUN,False
TUN-QAT,2356,TUN,QAT,False
TUN-BAH,2356,TUN,BAH,False
BAH-BNG,2356,BAH,BNG,False
BAH-TUN,2356,BAH,TUN,False
BNG-KUW,2356,BNG,KUW,False
BNG-BAH,2356,BNG,BAH,False
TUN-ALG,2353,TUN,ALG,False
BRU-DJI,2353,BRU,DJI,False
SRI-SEN,2353,SRI,SEN,False
SEN-THI,2353,SEN,THI,False
THI-SEN,2353,THI,SEN,False
DJI-BRU,2353,DJI,BRU,False
SEN-SRI,2353,SEN,SRI,False
ALG-TUN,2353,ALG,TUN,False
BAH-DJI,2352,BAH,DJI,False
DJI-BAH,2352,DJI,BAH,False
KUW-SAU,2351,KUW,SAU,False
PHI-MAL,2351,PHI,MAL,False
SAU-KUW,2351,SAU,KUW,False
MAL-PHI,2351,MAL,PHI,False
NAM-NAM,2350,NAM,NAM,True
DJI-QAT,2350,DJI,QAT,False
QAT-DJI,2350,QAT,DJI,False
BAH-SAU,2350,BAH,SAU,False
SAU-BAH,2350,SAU,BAH,False
MAD-UAE,2349,MAD,UAE,False
UAE-MAD,2349,UAE,MAD,False
QAT-SAU,2349,QAT,SAU,False
USA-USA,2349,USA,USA,True
SAU-QAT,2349,SAU,QAT,False
OMA-UAE,2348,OMA,UAE,False
SRI-TUN,2348,SRI,TUN,False
MOR-TUN,2348,MOR,TUN,False
TUN-MOR,2348,TUN,MOR,False
TUN-SRI,2348,TUN,SRI,False
UAE-OMA,2348,UAE,OMA,False
SRI-GUY,2347,SRI,GUY,False
BOL-ECU,2347,BOL,ECU,False
ECU-BOL,2347,ECU,BOL,False
THI-INS,2347,THI,INS,False
NEP-PHI,2347,NEP,PHI,False
PHI-NEP,2347,PHI,NEP,False
GUY-SRI,2347,GUY,SRI,False
INS-THI,2347,INS,THI,False
BRU-UAE,2346,BRU,UAE,False
UAE-BRU,2346,UAE,BRU,False
ALG-INS,2346,ALG,INS,False
INS-ALG,2346,INS,ALG,False
MOR-BAH,2345,MOR,BAH,False
TOG-TOG,2345,TOG,TOG,True
LIB-MAL,2345,LIB,MAL,False
BAH-MOR,2345,BAH,MOR,False
LEB-LEB,2345,LEB,LEB,True
MAL-LIB,2345,MAL,LIB,False
JOR-QAT,2344,JOR,QAT,False
BAH-JOR,2344,BAH,JOR,False
JOR-BAH,2344,JOR,BAH,False
DJI-JOR,2344,DJI,JOR,False
JOR-DJI,2344,JOR,DJI,False
QAT-JOR,2344,QAT,JOR,False
PHI-GUY,2343,PHI,GUY,False
GUY-PHI,2343,GUY,PHI,False
TUN-UAE,2342,TUN,UAE,False
UAE-TUN,2342,UAE,TUN,False
OMA-TUN,2341,OMA,TUN,False
BNG-JOR,2341,BNG,JOR,False
SRI-NEP,2341,SRI,NEP,False
JOR-BRU,2341,JOR,BRU,False
BRU-JOR,2341,BRU,JOR,False
MAD-MOR,2341,MAD,MOR,False
TUN-OMA,2341,TUN,OMA,False
JOR-BNG,2341,JOR,BNG,False
MOR-MAD,2341,MOR,MAD,False
NEP-SRI,2341,NEP,SRI,False
UAE-DJI,2340,UAE,DJI,False
DJI-UAE,2340,DJI,UAE,False
INS-KUW,2340,INS,KUW,False
KUW-INS,2340,KUW,INS,False
PER-COL,2339,PER,COL,False
COL-PER,2339,COL,PER,False
BAH-INS,2338,BAH,INS,False
TUN-KUW,2338,TUN,KUW,False
INS-BAH,2338,INS,BAH,False
KUW-TUN,2338,KUW,TUN,False
PER-THI,2337,PER,THI,False
NEP-THI,2337,NEP,THI,False
THI-PER,2337,THI,PER,False
THI-NEP,2337,THI,NEP,False
SEN-INS,2337,SEN,INS,False
INS-SEN,2337,INS,SEN,False
JOR-INS,2336,JOR,INS,False
INS-JOR,2336,INS,JOR,False
SUD-OMA,2336,SUD,OMA,False
ALG-MAL,2336,ALG,MAL,False
SIN-SRI,2336,SIN,SRI,False
SRI-SIN,2336,SRI,SIN,False
GUY-INS,2336,GUY,INS,False
BNG-UAE,2336,BNG,UAE,False
DRV-DRV,2336,DRV,DRV,True
JAM-PHI,2336,JAM,PHI,False
UAE-BNG,2336,UAE,BNG,False
OMA-SUD,2336,OMA,SUD,False
MAL-ALG,2336,MAL,ALG,False
PHI-JAM,2336,PHI,JAM,False
INS-GUY,2336,INS,GUY,False
JOR-UAE,2335,JOR,UAE,False
MOR-QAT,2335,MOR,QAT,False
QAT-MOR,2335,QAT,MOR,False
UAE-JOR,2335,UAE,JOR,False
INS-PHI,2334,INS,PHI,False
PHI-INS,2334,PHI,INS,False
SEN-PHI,2334,SEN,PHI,False
PHI-SEN,2334,PHI,SEN,False
OMA-ALG,2334,OMA,ALG,False
CHL-BRA,2334,CHL,BRA,False
BRA-CHL,2334,BRA,CHL,False
ALG-OMA,2334,ALG,OMA,False
SIN-PHI,2332,SIN,PHI,False
EGY-OMA,2332,EGY,OMA,False
QAT-SRI,2332,QAT,SRI,False
JOR-MOR,2332,JOR,MOR,False
MOR-JOR,2332,MOR,JOR,False
SRI-QAT,2332,SRI,QAT,False
BRU-MOR,2332,BRU,MOR,False
MOR-BRU,2332,MOR,BRU,False
LIB-INS,2332,LIB,INS,False
SIN-JAM,2332,SIN,JAM,False
INS-LIB,2332,INS,LIB,False
JAM-SIN,2332,JAM,SIN,False
PHI-SIN,2332,PHI,SIN,False
OMA-EGY,2332,OMA,EGY,False
ALG-BNG,2331,ALG,BNG,False
BNG-ALG,2331,BNG,ALG,False
JAM-BRU,2331,JAM,BRU,False
VEN-ECU,2331,VEN,ECU,False
CHL-URU,2331,CHL,URU,False
ECU-VEN,2331,ECU,VEN,False
URU-CHL,2331,URU,CHL,False
HON-HON,2331,HON,HON,True
BRU-JAM,2331,BRU,JAM,False
MZM-MZM,2330,MZM,MZM,True
INS-DJI,2330,INS,DJI,False
BRU-ALG,2330,BRU,ALG,False
DJI-INS,2330,DJI,INS,False
BNG-JAM,2330,BNG,JAM,False
ALG-BRU,2330,ALG,BRU,False
JAM-BNG,2330,JAM,BNG,False
BNG-MOR,2329,BNG,MOR,False
TUN-THI,2329,TUN,THI,False
MOR-KUW,2329,MOR,KUW,False
MOR-BNG,2329,MOR,BNG,False
KUW-MOR,2329,KUW,MOR,False
MAL-MOR,2329,MAL,MOR,False
MOR-MAL,2329,MOR,MAL,False
BRU-LIB,2329,BRU,LIB,False
URU-PER,2329,URU,PER,False
LIB-BRU,2329,LIB,BRU,False
THI-TUN,2329,THI,TUN,False
PER-URU,2329,PER,URU,False
KUW-DJI,2329,KUW,DJI,False
DJI-KUW,2329,DJI,KUW,False
ECU-CHL,2328,ECU,CHL,False
CHL-ECU,2328,CHL,ECU,False
JOR-OMA,2327,JOR,OMA,False
OMA-JOR,2327,OMA,JOR,False
MOR-DJI,2327,MOR,DJI,False
DJI-MOR,2327,DJI,MOR,False
COS-CHL,2327,COS,CHL,False
CHL-COS,2327,CHL,COS,False
OMA-MAD,2325,OMA,MAD,False
GUY-ECU,2325,GUY,ECU,False
JOR-KUW,2325,JOR,KUW,False
MAD-OMA,2325,MAD,OMA,False
KUW-JOR,2325,KUW,JOR,False
ECU-GUY,2325,ECU,GUY,False
OMA-SRI,2325,OMA,SRI,False
SRI-OMA,2325,SRI,OMA,False
DJI-OMA,2324,DJI,OMA,False
JAM-MAL,2324,JAM,MAL,False
MAL-JAM,2324,MAL,JAM,False
OMA-DJI,2324,OMA,DJI,False
UAE-INS,2323,UAE,INS,False
INS-UAE,2323,INS,UAE,False
MOR-UAE,2323,MOR,UAE,False
THI-COL,2323,THI,COL,False
COL-THI,2323,COL,THI,False
UAE-MOR,2323,UAE,MOR,False
TUN-SEN,2322,TUN,SEN,False
PHI-TUN,2322,PHI,TUN,False
SEN-TUN,2322,SEN,TUN,False
TUN-PHI,2322,TUN,PHI,False
SEN-JAM,2321,SEN,JAM,False
THI-CHL,2321,THI,CHL,False
JAM-SEN,2321,JAM,SEN,False
CHL-THI,2321,CHL,THI,False
UAE-SAU,2320,UAE,SAU,False
BNG-NIG,2320,BNG,NIG,False
SAU-UAE,2320,SAU,UAE,False
BRU-SUD,2320,BRU,SUD,False
SAU-OMA,2320,SAU,OMA,False
NIG-BNG,2320,NIG,BNG,False
SUD-BRU,2320,SUD,BRU,False
OMA-SAU,2320,OMA,SAU,False
OMA-MOR,2319,OMA,MOR,False
MOR-OMA,2319,MOR,OMA,False
MAL-SUD,2319,MAL,SUD,False
SUD-MAL,2319,SUD,MAL,False
QAT-LIB,2317,QAT,LIB,False
SUD-QAT,2317,SUD,QAT,False
BNG-NEP,2317,BNG,NEP,False
QAT-SUD,2317,QAT,SUD,False
LIB-QAT,2317,LIB,QAT,False
NEP-BNG,2317,NEP,BNG,False
MAD-NEP,2317,MAD,NEP,False
NEP-MAD,2317,NEP,MAD,False
PER-COS,2316,PER,COS,False
LIB-BNG,2316,LIB,BNG,False
COS-PER,2316,COS,PER,False
BNG-LIB,2316,BNG,LIB,False
IRN-IRN,2316,IRN,IRN,True
TUN-GUY,2316,TUN,GUY,False
GUY-TUN,2316,GUY,TUN,False
SIN-INS,2315,SIN,INS,False
INS-SIN,2315,INS,SIN,False
THI-ECU,2314,THI,ECU,False
YEM-QAT,2314,YEM,QAT,False
ECU-THI,2314,ECU,THI,False
LIB-TUN,2314,LIB,TUN,False
SRI-ECU,2314,SRI,ECU,False
ECU-SRI,2314,ECU,SRI,False
ARG-ARG,2314,ARG,ARG,True
QAT-YEM,2314,QAT,YEM,False
TUN-LIB,2314,TUN,LIB,False
JAM-SRI,2313,JAM,SRI,False
GUY-CHL,2313,GUY,CHL,False
COL-MEX,2313,COL,MEX,False
YEM-BAH,2313,YEM,BAH,False
BAH-YEM,2313,BAH,YEM,False
MEX-COL,2313,MEX,COL,False
SRI-JAM,2313,SRI,JAM,False
CHL-GUY,2313,CHL,GUY,False
GUY-TRI,2312,GUY,TRI,False
OMA-LIB,2312,OMA,LIB,False
LIB-OMA,2312,LIB,OMA,False
TRI-GUY,2312,TRI,GUY,False
PER-ECU,2311,PER,ECU,False
INS-SUD,2311,INS,SUD,False
PHI-CHL,2311,PHI,CHL,False
DJI-SRI,2311,DJI,SRI,False
SUD-INS,2311,SUD,INS,False
EGY-QAT,2311,EGY,QAT,False
QAT-EGY,2311,QAT,EGY,False
ECU-PER,2311,ECU,PER,False
SRI-DJI,2311,SRI,DJI,False
CHL-PHI,2311,CHL,PHI,False
NEP-GUY,2310,NEP,GUY,False
CHL-MAD,2310,CHL,MAD,False
CHL-COL,2310,CHL,COL,False
INS-MOR,2310,INS,MOR,False
CHL-JAM,2310,CHL,JAM,False
BRU-NIG,2310,BRU,NIG,False
GUY-NEP,2310,GUY,NEP,False
NIG-BRU,2310,NIG,BRU,False
MAD-CHL,2310,MAD,CHL,False
MOR-INS,2310,MOR,INS,False
GUY-DJI,2310,GUY,DJI,False
DJI-GUY,2310,DJI,GUY,False
COL-CHL,2310,COL,CHL,False
GHA-GHA,2310,GHA,GHA,True
JAM-CHL,2310,JAM,CHL,False
SUD-LIB,2309,SUD,LIB,False
LIB-SUD,2309,LIB,SUD,False
ALG-JOR,2308,ALG,JOR,False
PHI-ECU,2308,PHI,ECU,False
THI-NIG,2308,THI,NIG,False
KUW-EGY,2308,KUW,EGY,False
NIG-THI,2308,NIG,THI,False
EGY-KUW,2308,EGY,KUW,False
JOR-ALG,2308,JOR,ALG,False
ECU-PHI,2308,ECU,PHI,False
DJI-SEN,2307,DJI,SEN,False
COL-PHI,2307,COL,PHI,False
SEN-DJI,2307,SEN,DJI,False
BRU-NEP,2307,BRU,NEP,False
PHI-COL,2307,PHI,COL,False
NEP-BRU,2307,NEP,BRU,False
ALG-SRI,2306,ALG,SRI,False
SUD-BNG,2306,SUD,BNG,False
LIB-BAH,2306,LIB,BAH,False
JOR-SRI,2306,JOR,SRI,False
BNG-SUD,2306,BNG,SUD,False
SRI-ALG,2306,SRI,ALG,False
BAH-LIB,2306,BAH,LIB,False
SRI-JOR,2306,SRI,JOR,False
BOL-VEN,2305,BOL,VEN,False
SRI-BAH,2305,SRI,BAH,False
VEN-BOL,2305,VEN,BOL,False
EGY-INS,2305,EGY,INS,False
QAT-ALG,2305,QAT,ALG,False
KUW-SEN,2305,KUW,SEN,False
SEN-KUW,2305,SEN,KUW,False
BAH-SRI,2305,BAH,SRI,False
ALG-QAT,2305,ALG,QAT,False
INS-EGY,2305,INS,EGY,False
MAL-YEM,2304,MAL,YEM,False
PER-JAM,2304,PER,JAM,False
JAM-PER,2304,JAM,PER,False
YEM-MAL,2304,YEM,MAL,False
BRA-MEX,2303,BRA,MEX,False
THI-MEX,2303,THI,MEX,False
MEX-THI,2303,MEX,THI,False
THI-JOR,2303,THI,JOR,False
JOR-THI,2303,JOR,THI,False
MEX-BRA,2303,MEX,BRA,False
BAH-ALG,2303,BAH,ALG,False
ALG-BAH,2303,ALG,BAH,False
PER-PHI,2302,PER,PHI,False
PHI-PER,2302,PHI,PER,False
KUW-SRI,2301,KUW,SRI,False
BRA-PER,2301,BRA,PER,False
SAU-MAL,2301,SAU,MAL,False
MAL-SAU,2301,MAL,SAU,False
SRI-KUW,2301,SRI,KUW,False
PER-BRA,2301,PER,BRA,False
ECU-NEP,2300,ECU,NEP,False
NEP-ECU,2300,NEP,ECU,False
ETH-ETH,2300,ETH,ETH,True
SLU-GUY,2300,SLU,GUY,False
GUY-SLU,2300,GUY,SLU,False
NIG-GUY,2299,NIG,GUY,False
BAH-EGY,2299,BAH,EGY,False
YEM-KUW,2299,YEM,KUW,False
KUW-YEM,2299,KUW,YEM,False
DJI-ALG,2299,DJI,ALG,False
EGY-BAH,2299,EGY,BAH,False
GUY-NIG,2299,GUY,NIG,False
MAL-NIG,2299,MAL,NIG,False
ALG-DJI,2299,ALG,DJI,False
NIG-MAL,2299,NIG,MAL,False
MAD-NIG,2298,MAD,NIG,False
BNG-MLI,2298,BNG,MLI,False
NIG-MAD,2298,NIG,MAD,False
MLI-BNG,2298,MLI,BNG,False
SAU-MAD,2298,SAU,MAD,False
MAD-SAU,2298,MAD,SAU,False
SEN-JOR,2297,SEN,JOR,False
OMA-YEM,2297,OMA,YEM,False
YEM-OMA,2297,YEM,OMA,False
CYP-CYP,2297,CYP,CYP,True
JOR-SEN,2297,JOR,SEN,False
NIG-PHI,2296,NIG,PHI,False
YEM-UAE,2296,YEM,UAE,False
UAE-SRI,2296,UAE,SRI,False
KUW-GUY,2296,KUW,GUY,False
SRI-UAE,2296,SRI,UAE,False
UAE-ALG,2296,UAE,ALG,False
PHI-NIG,2296,PHI,NIG,False
GUY-KUW,2296,GUY,KUW,False
UAE-YEM,2296,UAE,YEM,False
ALG-UAE,2296,ALG,UAE,False
SEN-SIN,2295,SEN,SIN,False
NIG-SRI,2295,NIG,SRI,False
SRI-NIG,2295,SRI,NIG,False
QAT-SEN,2295,QAT,SEN,False
SEN-QAT,2295,SEN,QAT,False
SIN-SEN,2295,SIN,SEN,False
MEX-PHI,2295,MEX,PHI,False
THI-DJI,2295,THI,DJI,False
PHI-MEX,2295,PHI,MEX,False
DJI-THI,2295,DJI,THI,False
MAD-MLI,2294,MAD,MLI,False
SAU-BRU,2294,SAU,BRU,False
SEN-BAH,2294,SEN,BAH,False
MLI-MAD,2294,MLI,MAD,False
BRU-SAU,2294,BRU,SAU,False
BAH-SEN,2294,BAH,SEN,False
MAL-EGY,2293,MAL,EGY,False
GUY-QAT,2293,GUY,QAT,False
QAT-GUY,2293,QAT,GUY,False
EGY-MAL,2293,EGY,MAL,False
NEP-MAL,2292,NEP,MAL,False
GUY-JOR,2292,GUY,JOR,False
JOR-GUY,2292,JOR,GUY,False
GUY-BHM,2292,GUY,BHM,False
MAL-NEP,2292,MAL,NEP,False
ZIM-ZIM,2292,ZIM,ZIM,True
BHM-GUY,2292,BHM,GUY,False
JAM-NEP,2291,JAM,NEP,False
NEP-JAM,2291,NEP,JAM,False
SIN-NEP,2291,SIN,NEP,False
VEN-SRI,2291,VEN,SRI,False
NEP-SIN,2291,NEP,SIN,False
SRI-VEN,2291,SRI,VEN,False
MEX-ECU,2290,MEX,ECU,False
ECU-JAM,2290,ECU,JAM,False
ECU-MEX,2290,ECU,MEX,False
MLI-SRI,2290,MLI,SRI,False
JAM-TRI,2290,JAM,TRI,False
TRI-JAM,2290,TRI,JAM,False
THI-BFO,2290,THI,BFO,False
SRI-MLI,2290,SRI,MLI,False
JAM-ECU,2290,JAM,ECU,False
BFO-THI,2290,BFO,THI,False
NEP-SEN,2289,NEP,SEN,False
PHI-JOR,2289,PHI,JOR,False
GUY-UAE,2289,GUY,UAE,False
JOR-PHI,2289,JOR,PHI,False
SEN-NEP,2289,SEN,NEP,False
UAE-GUY,2289,UAE,GUY,False
ALG-KUW,2288,ALG,KUW,False
KUW-ALG,2288,KUW,ALG,False
ZAM-GUY,2288,ZAM,GUY,False
MLI-BRU,2288,MLI,BRU,False
BRU-MLI,2288,BRU,MLI,False
GUY-PER,2288,GUY,PER,False
PER-GUY,2288,PER,GUY,False
GUY-ZAM,2288,GUY,ZAM,False
MAD-COL,2288,MAD,COL,False
COL-MAD,2288,COL,MAD,False
BAH-GUY,2287,BAH,GUY,False
BAH-THI,2287,BAH,THI,False
THI-QAT,2287,THI,QAT,False
JAM-MEX,2287,JAM,MEX,False
EGY-ALG,2287,EGY,ALG,False
MEX-JAM,2287,MEX,JAM,False
SUD-BAH,2287,SUD,BAH,False
THI-BAH,2287,THI,BAH,False
SRI-MOR,2287,SRI,MOR,False
MOR-SRI,2287,MOR,SRI,False
QAT-THI,2287,QAT,THI,False
GUY-BAH,2287,GUY,BAH,False
ECU-BRA,2287,ECU,BRA,False
SEN-MOR,2287,SEN,MOR,False
BAH-SUD,2287,BAH,SUD,False
MOR-SEN,2287,MOR,SEN,False
BRA-ECU,2287,BRA,ECU,False
ALG-EGY,2287,ALG,EGY,False
JAM-TUN,2286,JAM,TUN,False
MAL-MLI,2286,MAL,MLI,False
MLI-MAL,2286,MLI,MAL,False
MAD-PER,2286,MAD,PER,False
PER-MAD,2286,PER,MAD,False
MLT-MLT,2286,MLT,MLT,True
TUN-JAM,2286,TUN,JAM,False
YEM-BRU,2286,YEM,BRU,False
JAM-INS,2286,JAM,INS,False
BRU-YEM,2286,BRU,YEM,False
YEM-INS,2286,YEM,INS,False
INS-YEM,2286,INS,YEM,False
INS-JAM,2286,INS,JAM,False
JAM-BHM,2285,JAM,BHM,False
